bead_index,peak_z,peak_y,peak_x,centroid_z_um,centroid_y_um,centroid_x_um,fwhm_z_um,fwhm_y_um,fwhm_x_um,fwhm_pca1_um,fwhm_pca2_um,fwhm_pca3_um,pca_axis1,pca_axis2,pca_axis3,tilt_angle_y_deg,tilt_angle_x_deg,skew_pc1,kurt_pc1,snr,vol_ratio_05_01,pc1_z_angle_deg,astig_um
32,437,1384,1664,8.097487324848636,2.038548610459265,1.9931771035366372,4.6000000000000005,3.4000000000000004,0.4,5.125628140703517,0.4522613065326633,0.3517587939698492,"[-0.8185366878177966, -0.5736680847896226, -0.030043621454100822]","[-0.5688942693911866, 0.8167637736153145, -0.09620939851978748]","[-0.07973080301952948, 0.06165927832433321, 0.9949075999540777]",0.7858569818394583,0.0354001708097882,0.05528560187365449,-0.8840943885830899,508.31001233040695,0.10844976713240187,35.06142226962235,0.10050251256281406
33,542,1366,698,8.147071732138539,2.065373285343197,1.9998208103096013,4.2,3.0,0.30000000000000004,2.8643216080402008,0.5025125628140703,0.40201005025125625,"[-0.8505976622490299, -0.5248289912472035, -0.032220287443281086]","[-0.5046623369202939, 0.8320483150012116, -0.23024232277709666]","[-0.1476466818815534, 0.17958321594761523, 0.9725997768246093]",0.6644629759846998,0.10066783267907907,0.08722918433263098,-0.9045609747525853,367.66662804700377,0.13500123854347287,31.723265962201094,0.10050251256281406
34,669,1442,495,7.94834881268175,1.9760588943652238,1.9953758662247822,4.9,2.1,0.4,3.366834170854271,0.5527638190954773,0.40201005025125625,"[-0.8220069544092637, -0.5693242553434412, -0.013208299680264652]","[-0.5541240031822621, 0.8049793697921264, -0.21202547796511553]","[-0.13134365610897147, 0.16696738150521376, 0.9771748756047818]",0.8281919199990072,0.03598342136643449,-0.036465476645960664,-0.9126039746471513,413.54759087230906,0.10160193109501865,34.71379483942294,0.1507537688442211
35,667,1403,1562,7.968595988826806,1.9867256888512388,1.9885008486196196,5.1000000000000005,3.7,0.4,5.57788944723618,0.5025125628140703,0.3517587939698492,"[-0.8219019194235381, -0.5686819168605545, -0.032834620200476436]","[-0.5161084825168742, 0.7678337296871697, -0.37955684400208056]","[-0.24105864249603914, 0.29501227260996477, 0.9245855773737067]",0.9702798836521661,0.048627970946415876,-0.031171936069357198,-0.8790462987505858,1921.2183660083729,0.0009900990099009901,34.724361123530564,0.1507537688442211
36,662,1408,1292,7.282081256910871,2.132553181202794,1.8326147596614693,10.600000000000001,1.5,0.5,0.7035175879396984,0.7035175879396984,0.6030150753768844,"[-0.9832093461192523, 0.018399025086602405, -0.1815512533132582]","[0.05797568893744151, 0.9748523372633573, -0.2151783911650952]","[0.17302659100838025, -0.22209096426471786, -0.9595506252387032]",-0.5678199745656433,2.2610709542748646,-0.06905499456364786,-1.0015522783639237,34.35538194096034,0.05343720103867705,10.51431510223868,0.10050251256281406
37,165,1462,847,8.006064373280124,2.0005518856398594,1.9997739570031525,4.5,2.2,0.4,4.773869346733668,0.5527638190954773,0.3517587939698492,"[-0.820835600939539, -0.5709597724001383, -0.015292302998842993]","[-0.570729929927199, 0.8209612522987159, -0.0170284852355912]","[-0.022276968274893814, 0.005249811892491414, 0.9997380537718733]",0.7879100632080664,0.04472408357518399,0.002087820803890007,-0.9115611432501347,371.5355384379131,0.09541284403669725,34.831471705407985,0.20100502512562812
38,474,1362,1436,8.071592049019522,2.0230568445028267,1.9839239319305415,4.9,3.5,0.4,3.6683417085427132,0.4522613065326633,0.5527638190954773,"[-0.835554267885404, -0.5484221027089557, -0.032897760999413286]","[-0.31547442048340874, 0.42989789914199816, 0.8459690811926603]","[-0.4498054639943187, 0.7172314783761127, -0.5322161694154657]",1.0406921839037822,0.04948984712206888,0.041687480736495426,-0.7605886104788682,725.3099174685793,0.06349206349206349,33.32640346377408,0.10050251256281406
39,765,1462,633,6.369481601427173,1.991352020250594,1.9758161020447067,4.6000000000000005,2.6,0.4,0.4522613065326633,0.8542713567839195,0.5527638190954773,"[-0.8219879461104255, -0.5694480884426879, 0.008043072679800239]","[-0.28562711178799255, 0.424433558930444, 0.8592283206839071]","[-0.49269967471149556, 0.7039780029394427, -0.5115290821806523]",2.0409734344537958,-0.4849844402664192,0.19106556194860466,-0.9230217385848918,205.81103941183005,0.07636224098234842,34.715707240103484,0.3015075376884422
40,76,1420,1759,7.762235719960234,2.0095379007459626,1.9879125432880091,5.0,1.3,0.5,5.07537688442211,0.4522613065326633,0.5025125628140703,"[-0.8245367655022217, -0.5644365486983411, -0.03937645017824056]","[-0.3430223283283285, 0.4433192660041566, 0.8281326648899608]","[-0.4499720042439826, 0.6963328305365483, -0.5591473728039971]",1.1256482314522591,0.06766490480870585,-0.01315706188671219,-0.8583568517333058,483.07997421023623,0.10737233682786608,34.45844547309564,0.05025125628140703
41,481,1383,364,8.1038884645832,2.058259406890275,2.009334867883207,3.6,2.9000000000000004,0.30000000000000004,4.623115577889447,0.6030150753768844,0.40201005025125625,"[-0.8376042174920122, -0.546027994700667, -0.016510719026203276]","[-0.5442853170192076, 0.836747163878558, -0.06006394441335494]","[-0.046611892440607886, 0.041323271220439786, 0.9980579736361748]",0.6069532766653211,0.04689610661277854,0.0721387457008,-0.9148884098755641,391.1056579770176,0.12804586717630195,33.11201105779448,0.20100502512562812
