bead_index,peak_z,peak_y,peak_x,centroid_z_um,centroid_y_um,centroid_x_um,fwhm_z_um,fwhm_y_um,fwhm_x_um,fwhm_pca1_um,fwhm_pca2_um,fwhm_pca3_um,pca_axis1,pca_axis2,pca_axis3,tilt_angle_y_deg,tilt_angle_x_deg,skew_pc1,kurt_pc1,snr,vol_ratio_05_01,pc1_z_angle_deg,astig_um
67,297,334,204,2.3586730260725313,1.9735060764855394,1.9976469136478734,1.53,1.9000000000000001,0.30000000000000004,2.1608040201005023,0.6030150753768844,0.3015075376884422,"[-0.7081193704577193, -0.7059974701087578, -0.011598680209269895]","[-0.7060364226645017, 0.7081748200843343, -0.0009970304076834537]","[-0.00891779421586146, -0.0074830741379664605, 0.9999322359779034]",0.14518828341774934,0.003547023356793676,-0.01848256520293371,-0.5679765628787412,94.70241652377517,0.022764778064570727,44.917892582287905,0.3015075376884422
68,106,881,743,2.414388868933489,2.0602511207829006,2.004085121400318,3.5999999999999996,2.3000000000000003,0.4,7.135678391959798,0.6532663316582914,0.40201005025125625,"[-0.7756296883928567, -0.6309104510360863, -0.01872402886779278]","[-0.6308868163848748, 0.7740014467677518, 0.05388492658605433]","[0.019504137903461175, -0.05360749177931357, 0.9983715868501937]",1.0312213717218992,0.04675887374307826,0.05988987195919708,-0.8688735514864225,39.59477975857315,0.06300144679731685,39.13784277798338,0.25125628140703515
69,227,415,631,2.350329694686633,1.9604988940871597,2.0143580246444874,3.51,2.7,0.5,2.4623115577889445,0.7035175879396984,0.5527638190954773,"[-0.7724728883435175, -0.6348383028579515, -0.016308464019017754]","[0.02421225287218331, -0.055104119671291765, 0.9981870079329351]","[-0.6345860096039602, 0.7706775364701426, 0.05793730400385398]",0.3990432039266879,0.002681254389322316,0.021702240351857544,-0.6742528122483233,46.35813849169948,0.012831681471537517,39.42352561765078,0.1507537688442211
70,479,404,103,2.4604982270250835,2.0297716431990493,1.9981070427706928,2.28,2.1,0.30000000000000004,2.914572864321608,0.5527638190954773,0.3517587939698492,"[-0.7537300567330539, -0.6571772645839341, 0.0030074060526200505]","[-0.649633928950879, 0.745754527511522, 0.14773605873960047]","[0.09933156564270898, -0.10939939492540254, 0.9890222507390437]",0.25751318883727287,-0.0075601873788275695,0.03534746991815003,-0.6560428579678783,114.22617328023053,0.05591497227356747,41.08547168195746,0.20100502512562812
71,251,917,743,2.235334243561836,1.922432715712574,2.0226815103177835,3.0,2.4000000000000004,0.9,5.7286432160804015,1.1557788944723617,0.5527638190954773,"[-0.7714580585932541, -0.6362518219286698, 0.006006906356493076]","[0.15243192334695346, -0.1756421390454463, 0.9725812807864896]","[-0.617751545992623, 0.751221310988971, 0.23248563254475685]",0.7675827885940797,0.01602933845352232,-0.07926264162463706,-0.7115295503142045,27.146641821699667,0.03261051285833702,39.5149976105349,0.6030150753768844
72,487,343,983,2.338516072964099,2.031168212604442,1.9419428166118728,0.9299999999999999,1.2000000000000002,1.3,0.7035175879396984,0.5025125628140703,0.10050251256281406,"[-0.5458116620495036, 0.7638277391603197, -0.34446598447451005]","[0.6524260308886153, 0.6453718633999024, 0.3972850766775234]","[-0.5257660161989232, 0.007895747018020538, 0.8505925895452774]",-0.06955660625995227,0.10017632944667088,-0.08765013357754696,-0.5158941861423827,214.37294006334585,0.07042626423087106,56.919852758687696,0.40201005025125625
73,117,532,721,2.4037124142938646,1.9570195189396018,2.0364642649967877,1.89,1.9000000000000001,2.2,0.7035175879396984,0.5025125628140703,0.3517587939698492,"[-0.8850826385161944, -0.28840911125957086, -0.36530659389022196]","[0.01571706413673054, -0.802945860820968, 0.5958447100423033]","[-0.46516846076677754, 0.5216302609444154, 0.7152063855803635]",0.09687764442687939,0.14767196078541997,-0.014422361827790404,-0.8405617501021005,16.445953721108193,0.029406662040249828,27.738307462407526,0.1507537688442211
74,106,529,721,2.4210902028004555,1.9727025430702498,2.037034485580262,2.01,2.2,0.30000000000000004,1.0552763819095476,0.4522613065326633,0.3517587939698492,"[-0.8771535578915022, -0.3868877895245695, -0.2844634848184757]","[0.12733906483206353, -0.7585623692946252, 0.6390366925754891]","[-0.46301878843733146, 0.524309994380154, 0.7146416104223912]",0.10001712477325876,0.15024540603515693,0.016812775907939465,-0.8088717014043354,16.688261222182568,0.02874985610682629,28.699117782437447,0.10050251256281406
75,1331,452,1077,2.36551101628054,1.9734498716017033,2.000548801825364,2.76,2.2,0.4,1.1557788944723617,0.40201005025125625,0.6030150753768844,"[-0.769460046443066, -0.6382665048343953, -0.023390291454352487]","[0.07608895557842627, -0.12796696332963411, 0.9888553620905215]","[-0.6341464403170761, 0.7591049499922107, 0.14703049728034007]",0.2764002632777179,0.009520216451580346,-0.0028417262623906966,-0.6637636244916219,58.11935764894349,0.004318936877076412,39.694573772656675,0.20100502512562812
76,1395,319,758,2.372741643247023,1.9941978709906778,1.9425765087204843,1.74,2.6,1.1,0.20100502512562812,0.25125628140703515,1.0050251256281406,"[-0.7291114748378907, -0.649185444250798, -0.21669036949668655]","[-0.5001075596514724, 0.7215168905939102, -0.4788588574592155]","[-0.4672139617339849, 0.24077299591231227, 0.8507287925068977]",0.2582658409814882,0.14827221930041343,0.028255031934719843,-0.6067477812319226,160.18120240611321,0.026501215938143044,43.188042512141145,0.7537688442211055
77,628,498,951,2.324117578473631,1.965048598706573,2.018899454395373,2.82,1.8,0.30000000000000004,2.5628140703517586,0.4522613065326633,0.40201005025125625,"[-0.6982708942571495, -0.7120830043999115, -0.07318164440703002]","[-0.6209033390143772, 0.5516214269438735, 0.5569495892243771]","[0.3562257736802859, -0.43434041509074595, 0.8273159021707976]",0.1951118952790526,-0.05170115476309507,-0.032309864919333284,-0.6119716522599448,55.837077831270854,0.007515856905445114,45.71155829910515,0.05025125628140703
78,1582,299,1256,2.301959681650373,1.9375841003944982,1.9985514441837648,2.79,2.4000000000000004,0.4,5.57788944723618,0.7537688442211055,0.40201005025125625,"[-0.7134704501108797, -0.7003185439355004, -0.02266834441769298]","[-0.6999535146827189, 0.7138304188856232, -0.02260996145251705]","[-0.032015529073989885, 0.00026475202731437303, 0.9994873364903011]",0.30350983374362744,0.008102288776117399,-0.03500030741000318,-0.6180137544562951,34.27808830461021,0.02268677870014173,44.482013163648396,0.3517587939698492
